Player,gm
Imole Akinwale,-
Bruno Alocen,8
Aitor Anabitarte,3
Owen Aquino,7
Alonso Ballesteros,-
Nicolas Bootello,-
Gerard Bosch,-
Ignacio Campoy Galvez,1
Mario Castro,-
Hugo Chamero,-
Ander Claros,-
Armando Cuardado,-
Alejandro Cybak,-
Guillermo Del Pino,7
Manuel Devora Violan,-
Guillermo Diaz,8
Ignacio Diaz,-
Jorge Diaz,7
Tidiane Diop,-
Ruben Dominguez,8
Amadou Doumbia,5
Clemson Edomwonyin,-
Diego Eslava Martin,-
Julio Feria,-
Fabian Flores Moreno,5
Alvaro Folgueiras,7
Maximo Garcia-Plata,-
Iker Garmendia,4
Guillermo Gasset Ruiz,-
David Gomez,2
Aleix Grano,-
Alexandre Huguet Carrasco,7
Bruno Issaqui,-
Julen Iturbe,7
Pablo Jimenez,-
Miquel Llompart Perello,-
Francisco Lopez Alameda,-
Aday Mara,7
Lucas Mari Tardio,8
Conrad Martinez,7
Ismael Nidaye Matheu,-
Marcos Mejia,-
Asier Miguel Torrero,4
Baba Miller,5
Oscar Morales,-
Enrique Moya,-
Unai Moya,-
Guillermo Narbona,-
Ignacio Nascimento Zschaeck,-
Pablo Navarro,-
Victory Onuetu,6
Marcos Pacheco Padilla,-
Raul Perez,-
Valentino Pinedo,6
Ian Platteeuw,4
Iago Rimoldi,-
Adria Rodriguez,8
Jordi Rodriguez,5
Dani Romero,-
Roberto Ruesca,-
Javon Ruffin,7
Juan Ruiz,-
Juanma Ruiz,-
Luis Ruiz,-
Mario Saint-Supery,8
Ruben Salazar,-
Jorge Sanchez-Ramos Pereda,-
Curro Segura,-
Remi Skvorc,-
Luca Soroa Schaller,6
Pablo Tamba,6
Jose Roberto Tanchyn,6
Xavi Tirado,-
Raul Villar,7
Manuel Zapater,-
